Stkcd	Accper	Typrep	Indcd	F070101B	F070201B
000010	2010-12-31	A	C35	1.180123	1.867906
000010	2010-09-30	A	C35	1.557855	1.000000
000010	2010-06-30	A	F52	.875882	-.189871
000010	2010-03-31	A	F52	.841652	1.000000
000010	2009-12-31	A	F52	1.079556	1.289827
000010	2009-09-30	A	F52	1.073777	1.000000
000010	2009-06-30	A	F52	1.034222	1.190366
000010	2009-03-31	A	F52	1.046953	1.000000
000010	2008-12-31	A	F52	1.032469	1.163348
000010	2008-09-30	A	F52	1.032911	1.000000
000010	2008-06-30	A	F52	1.180027	1.779261
000010	2008-03-31	A	F52	1.106438	1.000000
000010	2007-12-31	A	F52	.962245	.836637
000010	2007-09-30	A	F52	1.012559	1.000000
000010	2007-06-30	A	F52	.890364	.051915
000010	2007-03-31	A	F52	.924684	1.000000
000010	2006-12-31	A	F52	1.535983	1.145349
000010	2006-09-30	A	F52	.769653	.834833
000010	2006-06-30	A	F52	.785462	.864157
000010	2006-03-31	A	F52	-.013096	1.000000
000010	2005-12-31	A	F52	.894370	.943140
000010	2005-09-30	A	F52	1.514681	1.294415
000010	2005-06-30	A	F52	1.982425	1.038495
000010	2005-03-31	A	F52	-5.232316	2.685133
000010	2004-12-31	A	F52	1.620005	1.376363
000010	2004-09-30	A	F52	1.200936	1.150117
000010	2004-06-30	A	F52	1.387080	1.019083
000010	2004-03-31	A	F52	1.153358	1.000000
000011	2014-09-30	A	K70	.980494	1.000000
000011	2014-06-30	A	K70	.957208	1.147351
000011	2014-03-31	A	K70	.918333	1.000000
000011	2013-12-31	A	K70	.985022	1.098997
000011	2013-09-30	A	K70	.989267	1.000000
000011	2013-06-30	A	K70	.992179	1.045549
000011	2013-03-31	A	K70	.993403	1.000000
000011	2012-12-31	A	K70	.996911	1.084108
000011	2012-09-30	A	K70	.986713	1.000000
000011	2012-06-30	A	K70	.989517	1.156993
000011	2012-03-31	A	K70	.913761	1.000000
000011	2011-12-31	A	K70	1.035697	1.100107
000011	2011-09-30	A	K70	1.021741	1.000000
000011	2011-06-30	A	K70	1.012226	1.044250
000011	2011-03-31	A	K70	1.004554	1.000000
000011	2010-12-31	A	K70	.986420	1.170555
000011	2010-09-30	A	K70	.993433	1.000000
000011	2010-06-30	A	S90	.999266	1.114635
000011	2010-03-31	A	S90	1.142008	1.000000
000011	2009-12-31	A	S90	1.126114	1.244966
000011	2009-09-30	A	S90	1.063545	1.121818
000011	2009-06-30	A	S90	1.068850	1.110032
000011	2009-03-31	A	S90	1.137585	1.000000
000011	2008-12-31	A	S90	1.746652	1.686327
000011	2008-09-30	A	S90	-.174876	1.000000
000011	2008-06-30	A	S90	-10.735905	2.695397
000011	2008-03-31	A	S90	-.890956	1.000000
000011	2007-12-31	A	S90	.090924	-8.880146
000011	2007-09-30	A	S90	.497047	1.000000
000011	2007-06-30	A	S90	.556668	-.488965
000011	2007-03-31	A	S90	.710681	1.000000
000011	2006-12-31	A	S90	.661940	.231272
000011	2006-09-30	A	S90	.752559	.366009
000011	2006-06-30	A	S90	.715422	.229352
000011	2006-03-31	A	S90	.709300	-.004319
000011	2005-12-31	A	S90	1.331597	1.187926
000011	2005-09-30	A	S90	1.753605	1.295765
000011	2005-06-30	A	S90	1.954967	1.327422
000011	2005-03-31	A	S90	44.762479	2.028009
000011	2004-12-31	A	S90	1.320885	1.158459
000011	2004-09-30	A	S90	1.449192	1.232179
000011	2004-06-30	A	S90	2.087370	1.341333
000011	2004-03-31	A	S90	4.029991	2.402024
000012	2014-09-30	A	C30	1.198933	1.000000
000012	2014-06-30	A	C30	1.160759	1.442409
000012	2014-03-31	A	C30	1.304185	1.000000
000012	2013-12-31	A	C30	1.123152	1.322213
000012	2013-09-30	A	C30	1.197303	1.000000
000012	2013-06-30	A	C30	1.227640	1.497079
000012	2013-03-31	A	C30	1.350744	1.000000
000012	2012-12-31	A	C30	1.542815	1.892164
000012	2012-09-30	A	C30	1.337249	1.000000
000012	2012-06-30	A	C30	1.381075	1.692304
000012	2012-03-31	A	C30	1.361059	1.000000
000012	2011-12-31	A	C30	1.088101	1.343341
000012	2011-09-30	A	C30	1.071000	1.000000
000012	2011-06-30	A	C30	1.058842	1.265219
000012	2011-03-31	A	C30	1.065183	1.000000
000012	2010-12-31	A	C30	1.056948	1.285780
000012	2010-09-30	A	C30	1.057366	1.000000
000012	2010-06-30	A	C30	1.069309	1.306741
000012	2010-03-31	A	C30	1.070828	1.000000
000012	2009-12-31	A	C30	1.106713	1.409942
000012	2009-09-30	A	C30	1.108057	1.000000
000012	2009-06-30	A	C30	1.172105	1.554711
000012	2009-03-31	A	C30	1.470658	1.000000
000012	2008-12-31	A	C30	1.155239	1.608924
000012	2008-09-30	A	C30	1.052740	1.000000
000012	2008-06-30	A	C30	.990307	1.346872
000012	2008-03-31	A	C30	1.000468	1.000000
000012	2007-12-31	A	C30	1.102319	1.474088
000012	2007-09-30	A	C30	1.194613	1.000000
000012	2007-06-30	A	C30	1.242743	1.607184
000012	2007-03-31	A	C30	1.466413	1.000000
000012	2006-12-31	A	C30	1.197944	1.481177
000012	2006-09-30	A	C30	1.157604	1.454926
000012	2006-06-30	A	C30	1.178127	1.507726
000012	2006-03-31	A	C30	1.253044	1.712375
000012	2005-12-31	A	C30	1.112138	1.530879
000012	2005-09-30	A	C30	1.094472	1.518886
000012	2005-06-30	A	C30	1.156266	1.530220
000012	2005-03-31	A	C30	1.135465	1.725314
000012	2004-12-31	A	C30	1.068120	1.391460
000012	2004-09-30	A	C30	1.056663	1.345893
000012	2004-06-30	A	C30	1.037879	1.328573
000012	2004-03-31	A	C30	1.009435	1.396298
000013	2004-06-30	A	F51	.871423	1.080523
000013	2004-03-31	A	F51	.060283	1.000000
000014	2014-09-30	A	K70	1.306004	1.000000
000014	2014-06-30	A	K70	1.142893	1.116499
000014	2014-03-31	A	K70	1.095485	1.000000
000014	2013-12-31	A	K70	1.293344	1.148923
000014	2013-09-30	A	K70	2.561595	1.000000
000014	2013-06-30	A	K70	2.217230	1.217298
000014	2013-03-31	A	K70	1.839039	1.000000
000014	2012-12-31	A	K70	1.491083	1.129919
000014	2012-09-30	A	K70	-.151755	1.000000
000014	2012-06-30	A	K70	-.583165	2.027373
000014	2012-03-31	A	K70	34.136778	1.000000
000014	2011-12-31	A	K70	1.132755	1.099261
000014	2011-09-30	A	K70	1.203370	1.000000
000014	2011-06-30	A	K70	1.219235	1.185732
