Stkcd	Accper	C001000000
000017	2014-03-31	2504356.37
000017	2013-01-01	-7026573.55
000017	2013-12-31	-28210167.86
000017	2013-09-30	-12259564.26
000017	2013-06-30	-20556480.08
000017	2013-03-31	-18019890.64
000017	2012-12-31	-7026573.55
000017	2012-01-01	348907.64
000017	2012-09-30	4257770.41
000017	2012-06-30	-2504014.01
000017	2012-03-31	-1167450.59
000017	2011-12-31	348907.64
000017	2011-09-30	1873843.28
000017	2011-06-30	1314073.56
000017	2011-03-31	7503023.21
000017	2010-12-31	6495860.32
000017	2010-09-30	8232616.23
000017	2010-06-30	5750731.94
000017	2010-03-31	8246599.66
000017	2009-12-31	3920586.97
000017	2009-09-30	15452346.17
000017	2009-06-30	753569.02
000017	2009-03-31	7001509.35
000017	2008-12-31	-14392427.25
000017	2008-09-30	3351118.33
000017	2008-06-30	-6185663.33
000017	2008-03-31	4915125.37
000017	2007-12-31	-2591980.11
000017	2007-09-30	5442732.88
000017	2007-06-30	1245361.24
000017	2007-03-31	8394329.28
000017	2006-12-31	-9953587.30
000017	2006-09-30	6342851.61
000017	2006-06-30	-4161588.02
000017	2005-12-31	22377763.45
000017	2005-09-30	16578950.02
000017	2005-06-30	7719310.45
000017	2004-12-31	-5815452.03
000017	2004-09-30	-2539566.03
000017	2004-06-30	-4254734.94
000017	2004-03-31	433475.96
000018	2014-09-30	4348453.00
000018	2014-06-30	2708214.00
000018	2014-03-31	1295741.00
000018	2013-12-31	1708608.00
000018	2013-01-01	-384418.00
000018	2013-09-30	2787681.00
000018	2013-06-30	1949440.00
000018	2013-03-31	987246.00
000018	2012-01-01	4202430.00
000018	2012-12-31	-384418.00
000018	2012-09-30	788412.00
000018	2012-06-30	165989.00
000018	2012-03-31	571809.00
000018	2011-12-31	4202430.00
000018	2011-09-30	2243234.00
000018	2011-06-30	815584.00
000018	2011-03-31	671682.00
000018	2010-12-31	237582.00
000018	2010-09-30	571375.00
000018	2010-06-30	-371870.00
000018	2010-03-31	-639091.00
000018	2009-12-31	-866440.00
000018	2009-09-30	-4268199.00
000018	2009-06-30	2393354.00
000018	2009-03-31	-624750.00
000018	2008-12-31	13621421.00
000018	2008-09-30	13785937.00
000018	2008-06-30	11242976.00
000018	2008-03-31	6870357.00
000018	2007-12-31	8127432.00
000018	2007-09-30	2760599.00
000018	2007-06-30	7207714.00
000018	2007-03-31	-8691974.98
000018	2006-12-31	273485.00
000018	2006-09-30	-11919161.43
000018	2006-06-30	-6703525.32
000018	2006-03-31	-3052408.12
000018	2005-12-31	3228966.00
000018	2005-09-30	7859638.44
000018	2005-06-30	11309340.78
000018	2005-03-31	10804320.82
000018	2004-12-31	39806972.00
000018	2004-09-30	30730727.18
000018	2004-06-30	18761404.14
000019	2014-09-30	-61815272.71
000019	2014-06-30	16786120.54
000019	2014-03-31	6149469.81
000019	2013-12-31	-11917839.62
000019	2013-01-01	-48434558.23
000019	2013-09-30	-23082525.90
000019	2013-06-30	-11847579.84
000019	2013-03-31	-9205998.15
000019	2012-12-31	-48434558.23
000019	2012-01-01	-18790209.92
000019	2012-09-30	-11231687.70
000019	2012-06-30	3259065.52
000019	2012-03-31	5881836.36
000019	2011-12-31	-18790209.92
000019	2011-09-30	-9252997.54
000019	2011-06-30	-8272410.63
000019	2011-03-31	-9014526.48
000019	2010-12-31	5223014.63
000019	2010-09-30	-7905321.18
000019	2010-06-30	-6132118.35
000019	2010-03-31	-7011747.53
000019	2009-12-31	1715410.02
000019	2009-09-30	-2415993.65
000019	2009-06-30	6133783.89
000019	2009-03-31	7311186.67
000019	2008-12-31	516991.66
000019	2008-09-30	-8480835.04
000019	2008-06-30	-9298569.79
000019	2008-03-31	5951007.70
000019	2007-12-31	-2450233.38
000019	2007-09-30	8075638.04
000019	2007-06-30	2075284.14
000019	2007-03-31	-5047064.36
000019	2006-12-31	-30001648.17
000019	2006-09-30	648372.77
000019	2006-06-30	-3223109.39
000019	2006-03-31	-15726936.45
000019	2005-12-31	-8102139.60
000019	2005-09-30	-29295865.03
000019	2005-06-30	-25230445.83
000019	2005-03-31	11882996.71
000019	2004-12-31	1472168.36
000019	2004-09-30	-23756292.57
000019	2004-06-30	-15909952.92
000019	2004-03-31	-5017387.72
000020	2014-09-30	-383919788.32
000020	2014-06-30	-188587686.53
000020	2014-03-31	-26273204.65
000020	2013-01-01	18419090.98
000020	2013-12-31	-69353440.38
000020	2013-09-30	-39975763.31
000020	2013-06-30	-28557957.20
000020	2013-03-31	-71011893.48
000020	2012-12-31	18419090.98
000020	2012-01-01	48170937.23
000020	2012-09-30	-6919322.01
000020	2012-06-30	74868494.91
000020	2012-03-31	-90160095.82
000020	2011-12-31	48170937.23
000020	2011-09-30	-4873139.28
000020	2011-06-30	-15077925.90
000020	2011-03-31	-38039203.77
000020	2010-12-31	56799807.76
000020	2010-09-30	59292737.50
000020	2010-06-30	29661871.80
000020	2010-03-31	25509411.98
000020	2009-12-31	-99642853.06
000020	2009-09-30	-69945095.04
000020	2009-06-30	-78925182.83
000020	2009-03-31	-6811000.93
000020	2008-12-31	-18616487.18
000020	2008-09-30	-1671267.31
000020	2008-06-30	-26048943.94
000020	2008-03-31	11291901.85
000020	2007-12-31	14843814.16
000020	2007-09-30	10343602.72
000020	2007-06-30	-10834097.67
000020	2007-03-31	243191.60
000020	2006-12-31	26649992.33
000020	2006-09-30	17700859.73
000020	2006-06-30	15002710.46
000020	2006-03-31	11084097.28
000020	2005-12-31	27577023.56
000020	2005-09-30	23479354.37
000020	2005-06-30	16392463.06
000020	2005-03-31	14891516.39
000020	2004-12-31	10814886.82
000020	2004-09-30	16570017.83
000020	2004-06-30	15965219.36
000020	2004-03-31	10369147.42
000021	2014-09-30	208025040.34
000021	2014-06-30	170130497.47
000021	2014-03-31	135371988.73
000021	2013-12-31	448850592.16
000021	2013-01-01	287847989.29
000021	2013-09-30	385484764.06
000021	2013-06-30	296268472.39
000021	2013-03-31	55118044.28
000021	2012-01-01	170075188.33
000021	2012-12-31	287847989.29
000021	2012-09-30	-7968794.19
000021	2012-06-30	66903020.82
000021	2012-03-31	25203042.23
000021	2011-12-31	170075188.33
000021	2011-09-30	43601683.44
000021	2011-06-30	73345846.32
000021	2011-03-31	11658857.02
000021	2010-12-31	114433971.14
000021	2010-09-30	332857832.35
000021	2010-06-30	195158407.52
000021	2010-03-31	181470989.92
000021	2009-12-31	493691448.31
000021	2009-09-30	250336156.51
000021	2009-06-30	199621905.25
000021	2009-03-31	38119556.20
000021	2008-12-31	338516958.90
000021	2008-09-30	221958966.41
000021	2008-06-30	94717410.40
000021	2008-03-31	18276142.75
000021	2007-12-31	-74013938.83
000021	2007-09-30	69729141.86
000021	2007-06-30	11983978.99
000021	2007-03-31	-33450848.46
000021	2006-12-31	712393827.18
000021	2006-09-30	587696812.70
000021	2006-06-30	402819302.27
000021	2006-03-31	205339986.12
000021	2005-12-31	176071483.47
000021	2005-09-30	132089355.02
000021	2005-06-30	113362601.76
000021	2005-03-31	27811523.48
000021	2004-12-31	571801367.33
000021	2004-09-30	339047783.79
000021	2004-06-30	320560649.07
000021	2004-03-31	412819788.61
